PersonID,group,experience,enthusiasm,score
1,1,1,-0.3,83
2,1,4,-0.9,78
3,1,6,-1.4,79
4,1,4,-0.1,76
5,1,5,-0.6,76
6,1,4,-0.6,75
7,1,4,1.6,64
8,1,6,-1,74
9,1,4,0.7,77
10,1,2,-0.3,81
11,1,1,-1.4,86
12,1,6,0,66
13,1,4,0.2,76
14,1,4,1.6,68
15,1,6,0.3,74
16,1,5,0.6,73
17,1,4,0.7,71
18,1,3,-0.9,76
19,1,3,3.2,63
20,1,4,0.7,71
21,1,2,1.8,64
22,1,2,-0.6,87
23,1,4,-0.3,75
24,1,5,2.7,57
25,1,5,1.1,65
26,1,2,0.9,79
27,1,3,0.5,77
28,1,5,-0.8,77
29,1,3,1.4,69
30,1,4,0.6,67
31,1,4,0.4,71
32,1,4,-0.8,77
33,1,4,-2,86
34,1,7,-1.5,77
35,1,4,0.6,72
36,1,4,-0.5,85
37,1,5,-0.8,78
38,1,4,-1,83
39,1,5,0.4,75
40,1,3,0.3,81
41,1,3,-1.3,78
42,1,5,1.1,65
43,1,3,0.6,71
44,1,4,0,80
45,1,5,-0.7,77
46,1,4,1.2,68
47,1,2,-1.2,87
48,1,3,0.5,73
49,2,4,1.6,55
50,2,3,-2.2,82
51,2,4,0,64
52,2,4,-1,65
53,2,3,0,76
54,2,1,-0.3,85
55,2,1,-1.6,94
56,2,1,-0.3,81
57,2,4,-1.1,68
58,2,4,0.5,62
59,2,5,0.8,51
60,2,4,-1,72
61,2,5,2.7,47
62,2,4,-0.2,68
63,2,3,1,66
64,2,5,0.9,55
65,2,4,0.8,58
66,2,5,0.5,52
67,2,2,0.9,74
68,2,6,-2.5,70
69,2,5,1,53
70,2,4,-1.3,72
71,2,4,0.4,63
72,2,3,1,65
73,2,5,1.5,53
74,2,4,1.4,59
75,2,3,1.1,68
76,2,4,2.7,51
77,2,6,0,55
78,2,3,0.2,76
79,2,3,1.6,65
80,2,4,0.5,60
81,2,4,1.4,61
82,2,4,-0.2,68
83,2,4,-0.4,68
84,2,5,0.6,56
85,2,4,0.4,64
86,2,3,0.9,66
87,2,6,0.6,50
88,2,4,-1.7,76
89,2,3,-0.9,75
90,2,5,-0.3,59
91,2,3,-0.6,79
92,2,5,-0.3,59
93,2,4,0.3,64
94,2,6,-0.2,58
95,2,5,0.4,59
96,2,2,-0.1,78
97,2,5,-0.7,62
98,3,3,1.2,81
99,3,4,1.7,73
100,3,3,0.9,83
101,3,3,-1.8,93
102,3,4,1.5,73
103,3,4,0.3,81
104,3,3,0.1,84
105,3,6,-0.2,77
106,3,5,-0.1,81
107,3,4,1.1,73
108,3,3,0.3,79
109,3,4,0.8,75
110,3,3,-0.2,82
111,3,4,-1.1,90
112,3,5,0.7,72
113,3,4,-0.9,83
114,3,1,-0.9,98
115,3,4,-0.2,84
116,3,5,-0.3,78
117,3,5,0.3,80
118,3,1,-3,104
119,3,4,-0.6,84
120,3,4,0.4,76
121,3,5,0.8,74
122,3,5,-0.8,81
123,3,4,-1.5,86
124,3,5,-0.4,77
125,3,4,0.1,82
126,3,5,0.6,74
127,3,4,0.2,78
128,3,3,-0.7,85
129,3,3,0.1,82
130,3,1,-0.4,93
131,3,3,-0.7,90
132,3,4,-1,85
133,3,3,-0.4,83
134,3,5,-0.4,80
135,3,3,-0.2,87
136,3,3,2.1,75
137,3,5,-0.4,84
138,3,3,2,71
139,3,5,1.6,69
140,3,3,0.9,82
141,3,4,1.8,70
142,3,3,0.3,83
143,3,6,2,63
144,3,3,-0.8,91
145,3,3,0,77
146,3,2,-1.2,90
147,3,3,-1.2,90
148,3,4,1.3,71
149,4,3,0.7,69
150,4,1,-1.1,86
151,4,1,0.9,72
152,4,2,1.6,65
153,4,4,-0.9,77
154,4,5,-1.1,71
155,4,4,-2.3,86
156,4,3,0,73
157,4,5,-1.2,74
158,4,4,1.8,60
159,4,6,-1.1,71
160,4,3,-0.1,74
161,4,5,-1.8,80
162,4,5,-1,77
163,4,3,-1.4,78
164,4,5,-0.3,69
165,4,3,-0.2,72
166,4,4,-0.1,73
167,4,4,0.2,69
168,4,2,1,73
169,4,5,1.7,62
170,4,5,-0.5,72
171,4,5,0,69
172,4,4,-0.3,72
173,4,4,-0.1,69
174,4,5,-0.8,76
175,4,3,-0.1,68
176,4,6,0.6,64
177,4,3,-1.4,80
178,4,3,2,58
179,4,4,-0.3,71
180,4,5,0.3,67
181,4,6,1,59
182,4,2,-1,79
183,4,4,-0.1,71
184,4,4,0.7,66
185,4,4,0.7,63
186,4,4,-0.1,72
187,4,3,-0.5,76
188,4,5,0,64
189,4,4,-0.3,72
190,4,2,-1.2,81
191,4,2,2.2,66
192,4,4,-0.8,75
193,4,5,0.7,63
194,4,5,1.4,58
195,4,4,-1.1,77
196,4,3,-0.1,72
197,4,2,-0.7,76
198,4,5,-0.7,73
199,4,4,-0.9,75
200,4,4,0.8,67
