PersonID,Npubs,Nposters,QuantLevel,Job
1,2,1,2,0
2,2,7,2,1
3,1,2,1,0
4,2,5,1,1
5,4,5,2,1
6,3,5,1,0
7,3,1,1,1
8,4,5,3,1
9,1,1,2,0
10,3,5,3,1
11,1,4,1,1
12,2,1,2,0
13,5,1,1,1
14,5,7,2,1
15,1,1,2,0
16,6,3,1,1
17,6,1,1,1
18,6,2,2,1
19,2,2,2,1
20,4,1,2,1
21,1,4,3,1
22,2,8,3,1
23,4,6,3,1
24,5,6,2,1
25,3,2,3,0
26,1,2,3,0
27,1,4,1,1
28,3,6,1,1
29,1,1,3,1
30,2,5,3,0
31,2,2,2,0
32,0,4,3,1
33,2,4,1,1
34,1,4,3,1
35,5,5,1,1
36,2,3,1,1
37,4,5,1,1
38,3,5,2,1
39,4,5,1,1
40,1,9,1,1
41,4,8,1,1
42,2,3,3,1
43,2,1,1,0
44,3,2,2,1
45,1,1,1,0
46,3,3,3,1
47,7,1,2,1
48,1,0,2,0
49,1,2,3,1
50,2,1,1,0
51,3,5,3,1
52,5,5,1,1
53,3,2,2,1
54,3,7,1,1
55,6,5,2,1
56,2,4,3,1
57,2,2,1,0
58,3,2,1,1
59,0,7,3,1
60,1,3,2,0
61,2,2,1,0
62,2,5,2,1
63,1,3,3,1
64,2,4,3,1
65,3,4,1,1
66,2,3,2,1
67,3,2,3,1
68,2,4,2,1
69,6,9,2,1
70,2,4,1,1
71,1,4,1,0
72,2,3,3,1
73,6,3,2,1
74,5,5,1,1
75,4,2,2,1
76,4,3,1,1
77,5,1,2,1
78,2,9,3,1
79,0,4,1,0
80,3,6,1,1
81,3,2,1,1
82,0,5,3,1
83,2,7,3,1
84,2,3,2,1
85,3,7,1,1
86,2,3,1,1
87,1,2,2,0
88,4,2,3,1
89,2,0,3,0
90,7,5,3,1
91,3,2,2,1
92,6,2,1,1
93,4,4,1,1
94,3,5,2,1
95,1,3,1,1
96,2,5,3,1
97,1,5,3,0
98,1,6,3,1
99,2,5,3,1
100,5,4,1,1
101,4,2,3,1
102,1,6,2,1
103,1,5,2,0
104,4,1,3,1
105,1,5,2,0
106,5,6,1,1
107,4,2,1,1
108,2,3,1,1
109,3,5,1,0
110,1,3,2,1
111,1,3,3,1
